ring_id,date,extract_date,plasmodium ,haemoproteus,leucocytozoon
ZK22772,27.06.2023,29.06.2023,n,n,n
ZK22775,27.06.2023,29.06.2023,n,n,n
ZK56532,26.06.2023,29.06.2023,n,n,n
ZK56803,NA,21.06.2023,n,n,n
ZK56805,NA,21.06.2023,n,n,n
ZK56806,NA,21.06.2023,n,n,n
ZK56807,NA,21.06.2023,n,n,y
ZK56808,NA,21.06.2023,n,n,n
ZK56809,NA,21.06.2023,n,n,n
ZK56811,NA,21.06.2023,n,n,n
ZK56813,NA,21.06.2023,n,n,n
ZK56813,24.05.2023,21.06.2023,n,n,n
ZK56814,24.05.2023,21.06.2023,n,n,n
ZK56815,24.05.2023,21.06.2023,n,n,n
ZK56816,06.06.2023,20.06.2023,n,n,n
ZK56817,06.06.2023,20.06.2023,n,n,n
Zk56818,06.06.2023,20.06.2023,n,n,n
ZK56819,06.06.2023,21.06.2023,n,n,n
ZK56820,06.06.2023,21.06.2023,n,n,n
ZK56821,06.06.2023,20.06.2023,n,n,n
ZK56822,06.06.2023,20.06.2023,n,n,n
ZK56823,06.06.2023,20.06.2023,n,n,n
ZK56824,06.06.2023,20.06.2023,n,n,n
ZK56826,06.06.2023,20.06.2023,n,n,n
ZK56827,07.06.2023,21.06.2023,n,n,n
ZK56828,07.06.2023,20.06.2023,y,n,n
,,,,,
,,,,,
ZK56829,07.06.2023,20.06.2023,n,n,n
ZK56830,07.06.2023,20.06.2023,n,n,y
ZK56831,07.06.2023,21.06.2023,n,n,n
ZK56832,07.06.2023,20.06.2023,y,n,n
ZK56833,07.06.2023,20.06.2023,y,n,n
ZK56834,07.06.2023,20.06.2023,y,n,n
ZK56835,07.06.2023,20.06.2023,y,n,n
ZK56836,07.06.2023,21.06.2023,n,n,n
ZK56837,07.06.2023,20.06.2023,n,n,n
ZK56838,07.06.2023,20.06.2023,n,n,n
ZK56839,07.06.2023,20.06.2023,y,n,n
ZK56840,07.06.2023,20.06.2023,n,n,n
ZK56841,07.06.2023,20.06.2023,n,n,n
ZK56842,07.06.2023,20.06.2023,y,n,n
ZK56843,07.06.2023,20.06.2023,n,n,n
ZK56844,07.06.2023,20.06.2023,n,n,n
ZK56845,07.06.2023,20.06.2023,n,n,n
ZK56846,07.06.2023,20.06.2023,n,n,n
ZK56847,07.06.2023,20.06.2023,n,n,n
ZK56848,07.06.2023,20.06.2023,n,n,n
ZK56902,NA,21.06.2023,y,n,n
ZK56906,23.05.2023,21.06.2023,n,n,n
ZK56907,23.05.2023,21.06.2023,n,n,n
ZK56908,NA,21.06.2023,n,n,n
ZK56911,NA,21.06.2023,n,n,n
ZK56912,NA,21.06.2023,n,n,n
,,,,,
ZK56914,26.06.2023,29.06.2023,y,n,n
ZK56916,24.05.2023,21.06.2023,n,n,n
ZK56916,24.05.2023,21.06.2023,n,n,n
ZK56917,26.06.2023,29.06.2023,n,n,n
ZK56918,24.05.2023,21.06.2023,n,n,n
,,,,,
,,,,,
ZK56919,NA,21.06.2023,n,n,n
ZK56920,27.06.2023,29.06.2023,n,n,n
ZK56923,NA,21.06.2023,n,n,n
ZK56924,27.06.2023,29.06.2023,n,n,n
ZK56926,27.06.2023,29.06.2023,n,n,n
ZK56929,27.06.2023,29.06.2023,n,n,n
ZK56933,26.06.2023,29.06.2023,n,n,n
ZK56935,26.06.2023,29.06.2023,n,n,n
ZK56945,27.06.2023,29.06.2023,n,n,n
ZK56946,27.06.2023,29.06.2023,n,n,n
ZK56946,27.06.2023,29.06.2023,n,n,n
ZK56951,27.06.2023,29.06.2023,n,n,n
